Dish,Content,,Tags,,belki,zhiry,uglevodi,kallorii,breakfast,lunch,dinner
Сырники с творогом и рикоттой,"Tvorog,Syr,Sahar,Yajco,Sol',Korica,Muka,Maslo pods.",Syrniki s tvorogom i rikottoj,,"Творог,Сыр,Сахар,Яйцо,Соль,Корица,Мука,Масло подсолнечное ","10,3","9,2","19,4",203,+,,+
"Салат с авокадо,курицей и помидорами черри","Avokado,Kuritsa,Tomaty,Shpinat,Sous soevyj,Syr","Salat s avokado,kuricej i pomidorami cherri",,"Авокадо,Филе грудки,Томаты,Шпинат,Соус соевый,Сыр","9,1","8,5","3,3","127,9",,+,+
Плов,"Maslo,Ris,Luk,Svinina,Morkov',Sol',CHesnok",Plov,,"Масло,Рис,Лук,Гуляш из свинины,Морковь,Соль,Чеснок","8,9","5,7","25,2",187,,+,
Борщ с курицей без свеклы с томатной пастой,"Kuritsa,Luk,Morkov',Tom.Pasta,Maslo pods.,Sol',Specii,Kapusta,Kartofel',Smetana,zelen',",Borshch s kuricej bez svekly s tomatnoj pastoj,,"Курица,Лук репчатый,Морковь,Том Паста,Масло подсолнечное,Соль,Специи,Капуста,Картофель,Сметана, зелень,","5,7","5,8","8,2","107,5",,+,
Сельдь под шубой с тунцом,"Kartofel',Tunec,Sel'd',Morkov',Svekla,Yajco,Luk,Majonez",Sel'd' pod shuboj s tuncom,,"Картофель,Тунец,Сельдь,Морковь,Свекла,Яйцо Куриное,Лук репчатый,Майонез","5,7","5,4","7,8","102,6",,+,
"Перец,фаршированный говяжьим фаршем","Perec zelenyj,Govyadina,Yajco,Luk,Tom.Pasta,Smetana,Lavrovyj list,Sol',Ris","Perec,farshirovannyj govyazh'im farshem",,"Перец Зеленый,Говядина,Яйцо Куриное,Лук репчатый,Том Паста,Сметана,Лавровый Лист,Соль,Рис","4,2","3,8","5,6",75,,+,
Плов с сухофруктами без мяса,"Ris,Kuraga,CHernosliv,Klyukva,Izyum,Morkov',Luk,CHesnok,Kesh'yu,Specii",Plov s suhofruktami bez myasa,,"Рис,Курага, Чернослив, Клюква, Изюм,Морковь,Лук репчатый,Чеснок,Кешью,Специи",net,net,net,net,,+,+
Борщ диетический,"Svekla,Morkov',Kapusta,Kartofel',Luk,Tomaty,CHesnok,Voda,Kuritsa",Borshch dieticheskij,,"Свекла,Морковь,Капуста,Картофель,Лук репчатый,Томаты,Чеснок,Вода,курица,","6,8","0,3","4,2",50,,+,
Сок,Juice,"",drinks,"",,,,,"","",""
Какао,Cocoa,,drinks,,,,,,,,
Чай,Tea,,drinks,,,,,,,,
Кофе,Coffee,,drinks,,,,,,,,
Молоко,Milk,,drinks,,,,,,,,
