что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
https://kalkulyator-kaloriy.ru/omlet-s-syrom-i-gribami/,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,3 шт ,77,Akademshop,,,,
,Грибы Шампиньоны вес,200 г,6-7 шт,"94,6",Akademshop,,,,
,Мука Макфа Пшеничная в/с 1000г,1 кг,20 г,61,Akademshop,,,,
,Молоко БЗМЖ Простоквашино ультрапаст. 1.5% 0.95 т/п,1 шт,30 мл,117,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,15 мл,-,Akademshop,,,,
,Сыр БЗМЖ Витязь Брюкке 50%,100 г,50 г,"50,3",Akademshop,,,,
Суп с колбасой и вермишелью,,,,"250,2",,"4,7","7,2","14,3",140
https://kalkulyator-kaloriy.ru/sup-s-kolbasoy-i-vermishelyu/,Картофель вес,300г,3шт,"13,8",Akademshop,,,,
,Колбаса СПК По-Татарски п/к ,380 г,100 г,142,Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Морковь вес,100 г,1 шт,"4,2",Akademshop,,,,
,Макар.Изд.Макфа Вермишель дл.цельнозерновая ,500г,30 г,83,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
Отбивные из индейки в сметанном кляре,,,,395,,"15,8","6,3","7,7",151
https://kalkulyator-kaloriy.ru/otbivnye-iz-indeyki-v-smetannom-klyare/,Филе грудки индейки охл.,400г,350г,186,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,20 мл,-,Akademshop,,,,
,Сметана БЗМЖ Простоквашино 10% 315г пл/ст,1 шт (315 г),"1,5 ст. л.",71,Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Мука Макфа Пшеничная в/с 1000г,1 кг,2 ст. л.,61,Akademshop,,,,
Гречневая каша с курицей ,,,,"594,1",,"8,5","5,3","10,1",124
https://daily-menu.ru/dailymenu/recipes/view/203611?servingWeight=276&servingsCount=1,"Голень цыпленка-бройлера охлажденная, 0,8 - 1,2кг",1 кг,1 кг,"209,3",Ярче,,,,
,Лук Репчатый вес,100 г,"22,5 г","3,6",Akademshop,,,,
,Морковь вес,100 г,"22,5 г","4,2",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло БЗМЖ Академ.хоз-во топлёное 99% 140г,140 г,"12,5 г",289,Akademshop,,,,
,Крупа Гречневая Алейка ядрица 800г,800 г,"42,5 г",88,Akademshop,,,,
Оладьи на черничном йогурте,,,,252,,"4,8","6,3","31,5",201
https://kalkulyator-kaloriy.ru/oladi-na-chernichnom-yogurte/,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Сахар Русский песок 1000г пл/пак,,3 ст. л. ,-,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,1 щепотка,-,Akademshop,,,,
,Йогурт БЗМЖ Простоквашино Черника 2.5%  ,480г,200 мл,104,Akademshop,,,,
,Мука Макфа Пшеничная в/с 1000г,1 кг,90 г,61,Akademshop,,,,
,Разрыхлитель Теста Приправыч,10 г,3/4 ч. л.,10,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,20 мл,-,Akademshop,,,,
Зеленые щи со свининой,,,,"419,6",,"6,2",7,"6,2",113
https://kalkulyator-kaloriy.ru/zelenye-shhi-so-svininoy/,Фарш из свинины п/ф свинина 100%,300 г,300г,"107,7",Akademshop,,,,
